group,replicate,dilution,CFUs
2,2-A,0,26
2,2-C,0,0
3,3-A,0,0
3,3-C,0,0
4,4-A,0,0
4,4-B,0,0
4,4-C,0,0
5,5-A,0,0
5,5-B,0,0
5,5-C,0,0
7,7-A,0,1
7,7-B,0,0
7,7-C,0,0
8,8-A,0,17
8,8-B,0,0
8,8-C,0,4
9,9-A,0,0
9,9-B,0,0
9,9-C,0,1
10,10-A,0,0
10,10-B,0,0
2,2-A,1,10
2,2-B,1,52
2,2-C,1,0
3,3-A,1,0
3,3-C,1,0
4,4-A,1,0
4,4-B,1,0
4,4-C,1,0
5,5-A,1,0
5,5-B,1,0
5,5-C,1,0
7,7-A,1,2
7,7-B,1,0
7,7-C,1,0
8,8-A,1,3
8,8-B,1,0
8,8-C,1,0
9,9-A,1,0
9,9-B,1,0
9,9-C,1,0
10,10-A,1,0
10,10-B,1,0
2,2-A,2,0
2,2-B,2,10
2,2-C,2,0
3,3-A,2,0
3,3-B,2,30
3,3-C,2,0
4,4-A,2,0
4,4-B,2,0
4,4-C,2,0
5,5-A,2,0
5,5-B,2,0
5,5-C,2,0
7,7-A,2,0
7,7-B,2,0
7,7-C,2,0
8,8-A,2,2
8,8-B,2,0
8,8-C,2,0
9,9-A,2,0
9,9-B,2,0
9,9-C,2,0
10,10-A,2,0
10,10-B,2,0
2,2-A,3,0
2,2-B,3,5
2,2-C,3,0
3,3-A,3,0
3,3-B,3,10
3,3-C,3,0
4,4-A,3,0
4,4-B,3,0
4,4-C,3,0
5,5-A,3,0
5,5-B,3,0
5,5-C,3,0
7,7-A,3,0
7,7-B,3,0
7,7-C,3,0
8,8-A,3,0
8,8-B,3,0
8,8-C,3,0
9,9-A,3,0
9,9-B,3,0
9,9-C,3,0
10,10-A,3,0
10,10-B,3,0
